41798
<<<<<<< HEAD
states 0.565256
domain 0.535953
article 0.671436
claims 0.752430
action 0.657620
examples 0.518346
reliability 0.645247
images 0.783201
etc 0.481983
constraint 0.512628
detect 0.621911
makes 0.554233
utility 0.636252
correlations 0.700357
members 0.635489
discuss 0.600291
day 0.700660
stage 0.575457
references 0.580387
web 0.598994
keywords 0.586219
ones 0.494767
represented 0.555485
complete 0.506719
energy 0.648002
pi 0.625136
expertise 0.682705
linear 0.511436
ai 0.560954
cidcid 0.696259
spread 0.706592
run 0.557677
his 0.617393
main 0.505704
idea 0.544258
estimation 0.619294
simply 0.473400
selection 0.572902
account 0.571430
ow 0.547357
view 0.600473
researchers 0.649601
version 0.572613
right 0.530237
require 0.555244
denotes 0.547239
categories 0.538073
developed 0.619568
address 0.603651
accurate 0.590365
constant 0.535217
upper 0.594360
core 0.658596
furthermore 0.458068
towards 0.573686
region 0.617044
structures 0.612068
player 0.761330
reduce 0.557246
discovery 0.623723
develop 0.584284
communications 0.716035
having 0.477803
designed 0.591024
approximation 0.553864
interval 0.554465
considering 0.512838
understand 0.601941
give 0.534587
schemes 0.581739
partition 0.618328
internet 0.662401
entire 0.534552
condition 0.533920
kdd 0.755136
samples 0.594291
added 0.562133
expert 0.708662
indicate 0.516425
effectiveness 0.660573
database 0.553063
performed 0.559361
relative 0.500032
seen 0.557452
predicting 0.721508
phrases 0.764291
strong 0.616627
functions 0.520175
contrast 0.500217
measured 0.572204
iteration 0.639749
liu 0.755049
zhang 0.710148
item 0.682723
solve 0.592036
reports 0.621468
mention 0.769568
distinct 0.521232
technique 0.588182
details 0.525022
analyze 0.597622
response 0.595287
argument 0.759814
tweet 0.716852
derived 0.547051
contain 0.604430
connectivity 0.551667
classes 0.592137
around 0.523576
arguments 0.802933
iv 0.477578
popular 0.657311
become 0.609135
just 0.493288
short 0.552208
find 0.613191
variable 0.548689
ny 0.782655
min 0.515243
introduced 0.529464
structural 0.704947
realworld 0.563502
literature 0.619734
subject 0.586809
image 0.744840
consists 0.578560
statistics 0.550155
chosen 0.542113
direct 0.539009
cascade 0.688419
characteristics 0.557623
efciency 0.644019
chen 0.741692
probabilities 0.519102
noise 0.607660
add 0.552718
coverage 0.682478
collaboration 0.716248
connections 0.545855
attribute 0.553846
suppose 0.534933
actions 0.679651
standard 0.530618
assigned 0.585503
know 0.581634
exist 0.539103
highest 0.601080
claim 0.714448
sizes 0.589831
transition 0.715388
depends 0.575442
binary 0.548152
importance 0.536278
consistent 0.544880
ui 0.673638
estimated 0.580709
works 0.549960
already 0.538284
survey 0.680856
lines 0.556190
red 0.572880
greater 0.551467
gives 0.515694
had 0.597816
learn 0.695210
scenarios 0.597112
relatively 0.508827
corresponds 0.516292
access 0.593190
population 0.600889
trustworthiness 0.747632
rules 0.575214
correct 0.575032
behaviors 0.611849
fast 0.614806
effects 0.619418
ability 0.565020
allow 0.540736
ti 0.604537
though 0.526230
summary 0.521825
views 0.743031
implementation 0.582479
making 0.547229
scale 0.562434
easily 0.529480
detected 0.694077
upon 0.553150
typically 0.513668
labeled 0.620881
cascades 0.770073
simulations 0.606240
instances 0.595360
center 0.662635
topology 0.554507
modularity 0.778643
attack 0.682817
abstract 0.638084
leads 0.550256
especially 0.517502
start 0.483964
regions 0.656064
own 0.596394
neighborhood 0.584267
interested 0.576038
randomly 0.606205
packets 0.688538
calculate 0.562940
le 0.687558
wnf 0.900148
topk 0.685990
extract 0.684525
follow 0.543642
challenge 0.655379
determined 0.545621
match 0.509202
forwarding 0.735241
refer 0.555739
opinions 0.781298
candidates 0.614700
identifying 0.634631
elements 0.546699
concepts 0.627344
policy 0.639850
too 0.577420
rest 0.548006
you 0.682936
procedure 0.582186
discussion 0.509775
corpus 0.692203
whereas 0.516913
category 0.430187
recent 0.580885
lead 0.569900
ground_truth 0.628806
create 0.570036
expressed 0.756640
computer 0.718936
conclusion 0.623097
against 0.580059
notice 0.620521
achieved 0.561991
includes 0.538868
complex_networks 0.733661
centrality 0.760666
varying 0.619352
later 0.516797
generally 0.503831
phrase 0.806473
tensor 0.705264
stream 0.712161
httpwww 0.734057
yu 0.798405
org 0.623605
left 0.573575
static 0.593512
optimization 0.600437
count 0.506257
cooperative 0.871733
predicted 0.621005
consensus 0.758853
tend 0.600574
transmission 0.691735
ties 0.624994
recommendation 0.697150
extracted 0.599391
classier 0.709167
third 0.474900
probabilistic 0.573190
remaining 0.513972
major 0.576728
mentions 0.829149
whole 0.531522
challenges 0.662501
contacts 0.760750
supported 0.690729
clearly 0.467958
explore 0.598047
machine_learning 0.719091
hard 0.667811
year 0.617125
link_prediction 0.865270
condence 0.643938
strength 0.618610
technology 0.672929
spreading 0.811196
yet 0.551472
influence 0.702480
diversity 0.652812
nal 0.480539
map 0.542691
loss 0.594187
policies 0.878376
mechanisms 0.610309
variety 0.650491
description 0.535453
sensing 0.744905
reason 0.561774
random_walk 0.739214
popularity 0.705650
constructed 0.578867
advantage 0.630184
itself 0.497514
detailed 0.541098
calculated 0.594763
pc 0.710566
past 0.614683
needed 0.530870
issue 0.592350
choice 0.568213
heterogeneous 0.684873
actors 0.742322
discover 0.608220
mechanism 0.599722
containing 0.568672
again 0.450269
improvement 0.654379
xt 0.672781
enough 0.527970
articles 0.729068
approximate 0.595467
scalability 0.605653
hypothesis 0.612828
contained 0.781700
community_detection 0.818138
zero 0.564872
shared 0.611452
queue 0.823211
settings 0.564557
participant 0.773399
investigate 0.616403
necessary 0.571270
dimension 0.609139
areas 0.640758
outlier 0.712765
aspects 0.592750
normalized 0.500940
purposes 0.734268
matches 0.591134
dimensions 0.659228
channel 0.686846
reputation 0.816991
feedback 0.730753
recently 0.656866
did 0.625596
community_structure 0.827125
natural 0.541364
appear 0.560045
performs 0.648784
sec 0.642034
done 0.569466
taken 0.596702
construction 0.557348
rule 0.547650
examine 0.646383
adding 0.586762
quite 0.599978
environment 0.663500
almost 0.554655
presence 0.600071
provenance 0.863097
volume 0.573269
experts 0.655694
comparing 0.564954
copies 0.920499
years 0.663429
percentage 0.587981
appropriate 0.522004
packet 0.698455
layer 0.566727
combination 0.506230
robust 0.602058
outperforms 0.680012
joint 0.714002
decreases 0.608934
reference 0.628908
maximize 0.593813
arbitrary 0.550680
indeed 0.502321
: 0.685862
suggests 0.546783
records 0.685490
solutions 0.572373
pt 0.690071
build 0.624593
security 0.714619
em 0.657974
presents 0.634182
overlapping 0.791960
practice 0.485905
vectors 0.520014
resources 0.592339
ji 0.790509
sent 0.622432
return 0.613831
domains 0.595038
pagerank 0.713341
notation 0.716470
caching 0.753425
minimize 0.609596
longer 0.569874
association 0.828827
faloutsos 0.940985
removed 0.592812
periods 0.726148
seed 0.555586
memory 0.591518
far 0.523678
largescale 0.616461
phase 0.535832
exactly 0.544751
numbers 0.522912
ways 0.584062
her 0.656139
organization 0.634017
topical 0.820037
ni 0.626508
di 0.599323
sampled 0.666910
implies 0.537537
stable 0.578943
cell 0.698949
holds 0.609971
aggregation 0.666664
play 0.683369
sa 0.667087
plot 0.653741
taking 0.589678
scalable 0.682662
position 0.578599
growth 0.650765
achieves 0.702111
interests 0.756739
increased 0.632713
yi 0.619091
network_science 0.779900
mobility 0.728002
estimates 0.634140
beyond 0.582417
pk 0.702523
synthetic 0.661200
starting 0.596139
ri 0.611420
relational 0.764491
reduction 0.658723
easy 0.535316
connection 0.606372
iterations 0.672617
outliers 0.711441
want 0.564970
service 0.628342
facts 0.607730
qoi 0.857054
visualization 0.709547
speed 0.631190
ca 0.679701
hierarchy 0.690295
runs 0.652809
prove 0.619265
predictions 0.587518
likelihood 0.551665
bias 0.677006
root 0.683759
eld 0.580551
place 0.589305
illustrated 0.633840
central 0.638570
truth 0.700111
equivalent 0.533063
conf 0.775864
desired 0.633619
copyright 0.861504
limit 0.585258
duration 0.683836
id 0.639951
prole 0.671547
metadata 0.718405
combined 0.563527
yields 0.591548
server 0.804513
post 0.733442
neighbor 0.679586
history 0.583013
ln 0.848554
vj 0.788048
lists 0.709756
extended 0.572059
attention 0.635207
versus 0.582325
sense 0.528259
degrees 0.663266
color 0.690280
created 0.584332
cj 0.720320
bounds 0.655424
ei 0.640421
clear 0.549822
column 0.606460
manner 0.586477
window 0.535343
existence 0.602610
analyzing 0.594979
risk 0.679075
infer 0.631599
de 0.616236
mapping 0.589319
capacity 0.621937
intelligence 0.821353
convergence 0.605180
sun 0.796008
derive 0.593809
age 0.724855
spatial 0.715361
shortest_path 0.777098
relevance 0.668793
ecient 0.682706
activities 0.707531
diverse 0.603256
included 0.581293
sparse 0.625104
real_world 0.610203
linked 0.631961
highly 0.573147
stability 0.687324
reliable 0.622055
captures 0.651514
workshop 0.810817
network_structure 0.617310
exact 0.551450
alternative 0.551137
indicating 0.508621
sc 0.722541
cidcidcid 1.272571
sci 0.915460
published 0.771374
destination 0.657144
recommendations 0.683437
composite 0.694191
uncertainty 0.664165
typical 0.514541
ve 0.543808
send 0.700462
games 0.837395
cooperation 0.934216
identied 0.598022
decrease 0.572985
finding 0.648594
detecting 0.694277
retrieval 0.684882
quickly 0.616335
organizations 0.704621
automatically 0.652007
contribution 0.594006
ncid 0.580630
engineering 0.805415
variance 0.569444
discovered 0.653849
correspond 0.600610
combining 0.605728
product 0.609444
earlier 0.553268
budget 0.759169
parallel 0.674717
latent 0.649570
evaluated 0.587823
blue 0.668267
language 0.669103
objective 0.556235
days 0.700173
cs 0.594855
keyword 0.750309
differences 0.592309
answers 0.655957
providing 0.564381
overlap 0.549304
little 0.591791
equations 0.604177
trace 0.634782
xn 0.727248
nite 0.644187
depending 0.656760
look 0.631322
development 0.651092
assumed 0.606543
say 0.603425
occur 0.573539
contributions 0.629334
actually 0.534641
sentence 0.748080
satisfy 0.596677
hierarchical 0.677321
gain 0.564658
formally 0.571373
balance 0.702948
representative 0.625936
receive 0.629313
learned 0.658738
million 0.738833
ct 0.515155
simultaneously 0.633851
realtime 0.779450
physical 0.645289
interpreted 0.992432
statistical 0.509199
trajectories 0.798117
intuition 0.603570
city 0.748215
partitioning 0.685837
leading 0.546423
implemented 0.629034
testing 0.648315
perspective 0.620450
frame 0.633055
er 0.761960
scaling 0.687398
reduces 0.554963
costs 0.580680
objective_function 0.694627
friendship 0.734121
mentioned 0.539081
practical 0.585857
expect 0.533975
subgraphs 0.609207
reduced 0.587225
lett 0.998834
focused 0.689879
greedy 0.775844
bounded 0.591549
aggregate 0.509302
posts 0.754650
affect 0.603136
applying 0.532247
faster 0.697482
tc 0.627110
citation 0.832718
scalefree 0.905993
frequent 0.633018
matrices 0.683644
wu 0.746019
unknown 0.655014
illustrate 0.568160
epidemic 0.821256
springer 0.726630
partitions 0.599938
institute 0.917755
infected 0.882291
heuristic 0.576228
tools 0.636929
newman 0.956467
interface 0.686008
rates 0.608649
overview 0.683369
trajectory 0.749580
bi 0.722884
operations 0.634781
errors 0.624175
explicitly 0.556502
pairwise 0.540824
updates 0.556736
protocol 0.645549
lack 0.635325
curve 0.650698
scientic 0.790014
empirical 0.634617
society 0.749482
belong 0.641111
vary 0.579226
valid 0.545618
occurs 0.578303
appendix 0.564330
majority 0.610629
updated 0.620474
external 0.601476
outcomes 0.727587
management 0.745353
behavioral 0.717259
assuming 0.536147
yang 0.763293
unit 0.556983
degree_distribution 0.835572
uniform 0.642411
considers 0.615504
building 0.665385
anomalies 0.832728
go 0.628689
ensure 0.584616
definition 0.600939
collaborative 0.684355
grant 0.909548
nt 0.597420
illinois 0.901907
turn 0.539959
rt 0.640158
namely 0.555644
extend 0.607712
dt 0.637348
contexts 0.665761
challenging 0.722701
am 0.637499
belief 0.747957
virtual 0.734578
sharing 0.650530
issues 0.600031
produce 0.594591
intuitively 0.551975
false 0.769031
describes 0.633473
cc 0.795620
generalized 0.612141
reach 0.604431
tags 0.790363
suggest 0.606913
belonging 0.731220
lim 0.652817
credit 0.819677
cognitive 0.724879
conducted 0.685920
press 0.768872
homophily 0.757639
ma 0.719960
aim 0.583180
world 0.684492
unsupervised 0.713330
remains 0.580645
ranked 0.640576
experience 0.719735
devices 0.699712
wireless 0.710214
fundamental 0.689355
roles 0.672026
ltering 0.726592
week 0.719388
direction 0.554712
frequently 0.638062
sequences 0.650538
modeled 0.672946
continuous 0.619782
analyzed 0.603092
mission 0.797753
notion 0.696121
noisy 0.699053
element 0.622475
forward 0.625086
tool 0.650511
back 0.568096
why 0.606574
streams 0.771036
satises 0.719406
involved 0.578548
improved 0.615416
hold 0.605457
correlated 0.588439
currently 0.610126
repeated 0.663541
hours 0.638219
time_series 0.711633
personal 0.794572
collect 0.650741
names 0.660796
incorporate 0.651074
handle 0.639385
january 0.719077
formulation 0.582923
measuring 0.590423
wi 0.564835
appears 0.585172
road 0.748664
generation 0.602513
particularly 0.560262
explicit 0.610666
cover 0.619149
gold 0.814333
software 0.651078
believe 0.635216
trade 0.779503
specied 0.630746
move 0.661837
tracking 0.641983
sigkdd 0.899208
proximity 0.587573
program 0.707447
figures 0.673245
cn 0.705611
kcid 0.857734
except 0.569338
built 0.631685
sn 0.851704
signed 0.775716
remove 0.607533
down 0.570218
avoid 0.593890
supervised 0.748716
pa 0.737412
explain 0.649503
computational 0.611189
articial 0.950057
showing 0.621023
outcome 0.779587
feasible 0.588350
effectively 0.608978
background 0.629121
public 0.648962
multidimensional 0.631707
independently 0.598978
split 0.669885
member 0.704456
arg 0.729763
implied 1.045625
assign 0.645371
trustworthy 0.766500
training_data 0.711705
privacy 0.772699
gure 0.540972
estimating 0.696485
row 0.600674
clique 0.612830
ith 0.639822
distribute 0.944964
referred 0.630180
movement 0.761404
roth 0.876303
meaning 0.580403
broadcast 0.772750
potentially 0.564653
latter 0.504287
record 0.658544
media 0.643430
kb 0.805857
followers 0.824943
int 0.899721
additionally 0.517162
overhead 0.676427
correctly 0.660505
compression 0.742709
series 0.584970
facet 0.893530
gender 0.821536
selecting 0.604291
pruning 0.748315
lee 0.672919
entropy 0.699852
emergence 0.772502
snapshots 0.733847
knowledge_discovery 0.954388
extent 0.633674
eective 0.685353
depend 0.643093
reciprocity 0.759488
intervals 0.608577
difcult 0.663292
dense 0.815277
decision_making 0.826783
base 0.601515
sentiment 0.854068
formed 0.638139
attacks 0.759810
subjects 0.756616
powerlaw 0.855665
stateoftheart 0.800330
robustness 0.662279
physics 0.796844
detail 0.673668
necessarily 0.656978
embedding 0.745253
regarding 0.579073
publications 0.834383
argumentation 1.012617
she 0.775606
project 0.673962
availability 0.669070
trans 0.920014
previously 0.579595
huang 0.778563
showed 0.616886
collective 0.745270
stochastic 0.629853
distances 0.696314
theoretical 0.600320
military 0.737921
family 0.587464
meta 0.864100
maintain 0.632314
conclude 0.594712
date 0.749107
ts 0.634946
traces 0.743363
seconds 0.705646
humans 0.698366
eect 0.658365
bits 0.692653
adopt 0.628773
trusted 0.695649
separate 0.587026
layers 0.693230
structured 0.675542
sensor_networks 0.892906
operation 0.640698
ng 0.849046
topic_modeling 0.843701
significant 0.677011
pn 0.723931
success 0.628638
side 0.653210
forms 0.576381
code 0.686014
architecture 0.678878
storage 0.762187
keep 0.565899
basis 0.577305
partial 0.575615
identical 0.591583
personality 0.971273
followed 0.606742
initially 0.641957
reasoning 0.801800
purpose 0.624094
experimentation 0.850293
tr 0.668090
slightly 0.587697
szymanski 0.997103
reasons 0.620075
meaningful 0.598773
gps 0.842074
combine 0.665155
minimizing 0.683556
approximately 0.588526
zhao 0.745893
specific 0.694947
copy 0.890913
baselines 0.790524
trend 0.632810
social_sensing 0.910415
cache 0.813079
benet 0.596568
successful 0.629766
ns 0.728857
track 0.695151
trees 0.635907
characterize 0.661979
request 0.732434
gao 0.757829
friend 0.790489
movie 0.760058
google 0.640444
uniformly 0.704879
situation 0.577893
june 0.768507
generating 0.563312
determining 0.574514
snapshot 0.676582
exchange 0.643040
summarized 0.665996
organized 0.789152
solving 0.567061
performing 0.592541
metapath 1.020579
kinds 0.636787
connect 0.683176
mode 0.651159
maximizing 0.676687
redundancy 0.682915
improves 0.641816
dependencies 0.663293
allowed 0.664154
semantics 0.649614
pm 0.654148
inequality 0.735846
check 0.619195
lda 0.781430
classiers 0.819998
magnitude 0.526037
lu 0.724282
xj 0.650407
studying 0.647220
proles 0.679390
parts 0.563715
infocom 0.889039
rd 0.687241
formation 0.758768
qt 0.590478
preferences 0.677253
hybrid 0.710562
expression 0.663448
cidn 0.805509
choosing 0.631532
successfully 0.703203
sj 0.825496
andor 0.609277
status 0.629700
identication 0.710055
ibm 0.760385
hop 0.587738
usage 0.699698
default 0.648981
technologies 0.793599
rely 0.661934
betweenness 0.701385
trends 0.702426
reasonable 0.518394
enables 0.608023
despite 0.608693
accurately 0.631554
services 0.751080
capability 0.623464
adjacency_matrix 0.779674
transitions 0.760973
regression 0.659458
california 0.889386
qi 0.641561
mi 0.697194
throughput 0.677719
seeds 0.618765
phenomenon 0.662303
defined 0.725565
american 0.871529
ab 0.612533
discrete 0.725325
